gesetz;paragraph;titel;text_hash;status;gueltig_ab;kommentar
BImSchG;§1;Zweck des Gesetzes;a1f0c2d5;in_force;1990-03-15;
BImSchG;§3;Begriffsbestimmungen;b3e7f912;in_force;2013-07-12;Letzte substantielle Änderung 2013
BImSchG;§4;Genehmigungsbedürftige Anlagen;c4d8a103;in_force;2017-07-25;
BImSchG;§5;Pflichten der Betreiber genehmigungsbedürftiger Anlagen;d5b9e221;in_force;2024-12-01;Schwellenwerte gemäß 4.BImSchV Anhang 1
BImSchG;§15;Anzeige bei Änderungen;e6c0f334;in_force;2017-07-25;
BImSchG;§17;Nachträgliche Anordnungen;f7d1a445;in_force;2013-07-08;
KrWG;§3;Begriffsbestimmungen;a8e2b556;in_force;2020-10-23;
KrWG;§6;Abfallhierarchie;b9f3c667;in_force;2012-02-24;
KrWG;§7;Pflichten der Erzeuger und Besitzer von Abfällen;c0a4d778;in_force;2020-10-23;
KrWG;§8;Rangfolge und Hochwertigkeit der Verwertungsmaßnahmen;d1b5e889;in_force;2020-10-23;
GefStoffV;§6;Informationsermittlung und Gefährdungsbeurteilung;e2c6f99a;in_force;2010-11-26;
GefStoffV;§7;Grundpflichten;f3d70aab;in_force;2010-11-26;
GefStoffV;§8;Allgemeine Schutzmaßnahmen;a4e81bbc;in_force;2010-11-26;
WHG;§3;Begriffsbestimmungen;b5f92ccd;in_force;2009-07-31;
WHG;§62;Anforderungen an den Umgang mit wassergefährdenden Stoffen;c6a03dde;in_force;2017-06-18;
